aam-047-2018-00;5;2018-08-13;0;1;85;Moreno;democracia;1314;joaquin_gonzalez;ricardo_gutierrez;1744;jgarcia
aam-127-2022-00;1;2022-02-14;1;1;98;guernica;"hipolito yrigoyen";21538;;;1858;mstefano
aam-195-2018-00;5;2018-04-05;0;1;85;moreno;san_juan;344;;;1744;slugo
aam-195-2018-01;5;2018-06-22;0;1;85;moreno;san_juan;344;;;1744;slugo
aam-195-2021-00;5;2021-08-07;0;1;85;moreno;san_juan;344;;;1744;slugo
aam-238-2022-00;5;2022-08-31;0;1;82;merlo;cassio;1165;;;1722;cgroppo
aam-272-2022-00;1;2022-05-22;1;1;66;"arturo segui";417;0;;;1903;mstefano
aam-294-2023-00;4;2023-06-25;0;1;4;long_champs;alfonsina_storni;170;;;1854;fossorio
aam-375-2018-00;1;2018-02-01;0;1;6;avellaneda;"ayuntamiento del boiro";1290;;;1870;rmerlino
aam-375-2020-03;4;2020-01-24;0;1;6;avellaneda;"ayuntamiento del boiro";1290;;;1870;gsanluis
aam-412-2019-00;1;2019-07-18;0;1;66;"san carlos";132;743;;;1901;mstefano
aam-451-2018-00;5;2018-06-29;0;1;116;"bella vista";puerto_de_palos;16;;;1661;slugo
aam-451-2019-00;5;2019-06-08;0;1;116;"bella vista";puerto_de_palos;16;;;1661;slugo
aam-692-2018-00;1;2018-06-16;0;1;66;"lisandro olmos";"ruta  km";51.5;;;1903;mstefano
AAM-850-2023-00;5;2023-06-01;0;1;82;Merlo;Manso;655;;;1722;mnieves
aam-875-2021-00;4;2021-11-03;1;1;135;"villa soldati";lacarra;78;;;1407;asbruzzi
aao-121-2018-00;1;2018-02-20;0;1;13;Berazategui;19;5975;159;160;1886;rmerlino
aao-297-2022-00;1;2022-05-25;0;1;119;"san vicente";"madrid ";1243;;;1865;mstefano
aao-666-2022-00;1;2022-02-22;0;1;66;"la plata";177;8510;531;532;190;mstefano
aap-209-2018-00;4;2018-06-23;0;1;4;"rafael calzada";chubut;2230;;;1847;gsanluis
aap-239-2019-00;1;2019-05-19;0;1;14;berisso;11;2826;;;1923;mstefano
AAP-262-2023-00;5;2023-06-01;0;1;82;Merlo;"Las gardenias";899;;;1722;mnieves
aap-578-2023-00;3;2023-05-07;1;1;41;florencio_varela;rio_salado;2752;;;1888;agraziano
aap-609-2021-00;4;2021-07-31;0;1;74;"lomas de zamora";mayor_olivero;2026;;;1832;asbruzzi
aap-609-2021-01;4;2021-08-27;0;1;74;"lomas de zamora";mayor_olivero;2026;;;1832;asbruzzi
aap-609-2021-02;4;2021-08-27;0;1;74;"lomas de zamora";mayor_olivero;2026;;;1832;asbruzzi
aap-794-2018-00;5;2018-01-15;0;1;86;"el palomar";paraiso;190;;;1685;slugo
aap-794-2018-01;5;2018-05-16;0;1;86;"el palomar";"paraiso ";190;;;1685;slugo
aap-794-2018-02;5;2018-09-06;0;1;86;"el palomar";paraiso;190;;;1685;slugo
aap-794-2019-00;5;2019-03-19;0;1;86;"el palomar";"paraiso ";190;;;1685;slugo
aaq-762-2021-00;4;2021-07-24;0;1;135;caba;luna;1717;;;1437;asbruzzi
aar-267-2018-00;5;2018-06-07;1;1;63;"jose c paz";wilde;1721;;;1660;slugo
aar-407-2018-00;1;2018-10-15;0;1;66;"lisandro olmos";"35 bis";;180;181;1903;mstefano
AAR-470-2023-00;5;2023-08-04;0;1;65;"Villa luzuriaga";"Guido spano";5846;;;1754;mnieves
aar-563-2021-00;4;2021-09-12;0;1;135;caba;avenida_san_juan;871;;;1141;asbruzzi
aar-943-2022-00;1;;0;1;66;"la plata";d78;874;;;1900;mstefano
aar-991-2018-00;1;2018-12-27;0;1;66;"los hornos";62;;162;;1900;mstefano
aas-360-2018-00;1;2018-07-11;0;1;66;"villa elvira";99;225;;121;1900;mstefano
aas-360-2018-01;1;2018-09-05;0;1;66;"altos de san lorenzo";99;225;;;1901;mstefano
aas-625-2018-00;4;2018-06-30;0;1;6;avellaneda;juan_b_justo;802;;;1870;gsanluis
aas-770-2019-00;1;2019-02-08;0;1;81;mercedes;28;1117;;;6600;mstefano
aas-827-2022-01;1;2022-09-07;0;1;66;"la plata";35;0;;;1900;mstefano
aat-000-2019-00;5;2019-07-22;0;1;82;merlo;garmendia;4406;;;1722;cgroppo
aat-000-2019-01;5;2019-12-17;0;1;82;merlo;"garmendia ";4406;;;1722;cgroppo
aau-091-2022-00;1;2022-06-03;0;1;19;"maximo paz";azara;888;;;;mstefano
aav-106-2021-00;1;2021-08-27;0;1;66;"los hornos";81;;140;141;1900;mstefano
aav-182-2019-00;5;2019-12-02;0;1;38;"monte grande";cerro_tronador;280;;;1842;cgroppo
aav-182-2021-00;5;2021-08-21;0;1;38;"monte grande";cerro_tronador;280;;;1842;cgroppo
aav-182-2022-00;4;2022-04-22;0;1;38;"monte grande";cerro_tronador;280;;;1842;asbruzzi
aav-306-2018-00;1;2018-07-17;0;1;66;"los hornos";"81 bis";;140;141;1900;mstefano
aav-756-2021-00;5;2021-11-02;0;1;65;"lomas  del mirador";general_hornos;433;;;1752;galfiero
aav-961-2022-00;1;2022-07-25;0;1;119;"alejandro korn";liners;886;;;0;mstefano
aaz-311-2019-00;5;2019-05-09;1;1;85;"paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
